(0,0) = 3.066289602674480e-09 
(1,0) = 6.057461778105060e-08 
(0,1) = 3.141407029918380e-08 
(2,0) = 5.952536928442870e-07 
(1,1) = 6.259799734705050e-07 
(0,2) = 1.585966548887240e-07 
(3,0) = 3.880975448577690e-06 
(2,1) = 6.193699469663080e-06 
(1,2) = 3.204966313967910e-06 
(0,3) = 5.186619798264720e-07 
(4,0) = 1.053651202817620e-05 
(3,1) = 4.049825207119370e-05 
(2,2) = 3.221259494372370e-05 
(1,3) = 1.063565521367140e-05 
(0,4) = 6.814962309617330e-07 
(5,0) = 2.403591997271910e-05 
(4,1) = 1.080759639358650e-04 
(3,2) = 2.137952337018520e-04 
(2,3) = 1.092687353350200e-04 
(1,4) = 1.392062353227520e-05 
(0,5) = 7.670860008504070e-07 
(6,0) = 4.593172790716400e-05 
(5,1) = 2.426836014176340e-04 
(4,2) = 5.661108841892370e-04 
(3,3) = 7.494076050575270e-04 
(2,4) = 1.430151837082240e-04 
(1,5) = 1.546895885951840e-05 
(0,6) = 7.427097857424451e-07 
(7,0) = 6.801865266352910e-05 
(6,1) = 4.567456505349470e-04 
(5,2) = 1.249957633466750e-03 
(4,3) = 2.041568765517650e-03 
(3,4) = 9.867060154275450e-04 
(2,5) = 1.564000784528070e-04 
(1,6) = 1.478914211614950e-05 
(0,7) = 5.785509331413880e-07 
(8,0) = 8.936747032595020e-05 
(7,1) = 6.672643086293100e-04 
(6,2) = 2.335714480954140e-03 
(5,3) = 4.495254762034820e-03 
(4,4) = 2.705763106125010e-03 
(3,5) = 1.074827246573430e-03 
(2,6) = 1.477894913906650e-04 
(1,7) = 1.148782715247760e-05 
(0,8) = 4.211918375786190e-07 
(9,0) = 1.067603493296770e-04 
(8,1) = 8.590000745824320e-04 
(7,2) = 3.404921560746990e-03 
(6,3) = 8.332945148941491e-03 
(5,4) = 5.946277709028630e-03 
(4,5) = 2.941063840773950e-03 
(3,6) = 1.002475429041090e-03 
(2,7) = 1.141342668752170e-04 
(1,8) = 8.453257793864591e-06 
(0,9) = 2.933368089098430e-07 
(10,0) = 1.192175781238390e-04 
(9,1) = 9.888046069522240e-04 
(8,2) = 4.387950267377930e-03 
(7,3) = 1.211182159869800e-02 
(6,4) = 1.088253780821090e-02 
(5,5) = 6.457645787288510e-03 
(4,6) = 2.704089015318610e-03 
(3,7) = 7.588799197885470e-04 
(2,8) = 8.586797540345769e-05 
(1,9) = 5.928205581088550e-06 
(0,10) = 2.020175992236180e-07 
(11,0) = 1.288018587981860e-04 
(10,1) = 1.032210769650970e-03 
(9,2) = 5.033212240276890e-03 
(8,3) = 1.586342857386010e-02 
(7,4) = 1.530435258795430e-02 
(6,5) = 1.182153942520780e-02 
(5,6) = 5.926881304799910e-03 
(4,7) = 1.933100706113790e-03 
(3,8) = 5.871468983723570e-04 
(2,9) = 6.283051598606970e-05 
(1,10) = 3.877200851023270e-06 
(0,11) = 1.526956828500060e-07 
(12,0) = 1.401596803860610e-04 
(11,1) = 9.928704790371700e-04 
(10,2) = 5.180087721182680e-03 
(9,3) = 1.843019564242230e-02 
(8,4) = 1.931563327116030e-02 
(7,5) = 1.666748792086420e-02 
(6,6) = 1.089706626366210e-02 
(5,7) = 4.206252523250000e-03 
(4,8) = 1.292273220389470e-03 
(3,9) = 4.552803986013060e-04 
(2,10) = 4.288086431373450e-05 
(1,11) = 2.304529634678770e-06 
(0,12) = 1.528063342899440e-07 
(13,0) = 1.448077710119900e-04 
(12,1) = 8.981865563383700e-04 
(11,2) = 4.820819395749240e-03 
(10,3) = 1.911334259158940e-02 
(9,4) = 2.184789553587230e-02 
(8,5) = 2.091956012216950e-02 
(7,6) = 1.549485788969350e-02 
(6,7) = 7.777558853982680e-03 
(5,8) = 2.690227230475970e-03 
(4,9) = 8.163392781535900e-04 
(3,10) = 3.399224973061440e-04 
(2,11) = 2.474341196697880e-05 
(1,12) = 1.335065323369770e-06 
(0,13) = 1.902456347818540e-07 
(14,0) = 1.629005918481680e-04 
(13,1) = 7.137774441902950e-04 
(12,2) = 4.093091195386150e-03 
(11,3) = 1.774373858529140e-02 
(10,4) = 2.223303107225360e-02 
(9,5) = 2.353696489715840e-02 
(8,6) = 1.953898403429630e-02 
(7,7) = 1.119957619098450e-02 
(6,8) = 4.920107533997840e-03 
(5,9) = 1.570712330747800e-03 
(4,10) = 4.836034084327190e-04 
(3,11) = 1.982393884150650e-04 
(2,12) = 1.207026349549570e-05 
(1,13) = 8.350958300991540e-07 
(0,14) = 2.873054109876980e-07 
(15,0) = 1.966592727990160e-04 
(14,1) = 5.729893127412780e-04 
(13,2) = 2.922500421995020e-03 
(12,3) = 1.473319993809920e-02 
(11,4) = 2.047274163995090e-02 
(10,5) = 2.385619540474810e-02 
(9,6) = 2.218134375332150e-02 
(8,7) = 1.413503496010630e-02 
(7,8) = 7.073766344690630e-03 
(6,9) = 2.801533466495710e-03 
(5,10) = 8.419149420968519e-04 
(4,11) = 2.536139671160610e-04 
(3,12) = 9.462849210472150e-05 
(2,13) = 4.518252332221800e-06 
(1,14) = 7.794519410798950e-07 
(0,15) = 4.509806618818070e-07 
(16,0) = 2.641034208075770e-04 
(15,1) = 4.777763506181420e-04 
(14,2) = 2.005336499728930e-03 
(13,3) = 9.694849308708540e-03 
(12,4) = 1.725378127094010e-02 
(11,5) = 2.169834616021720e-02 
(10,6) = 2.310973802502710e-02 
(9,7) = 1.591626221859030e-02 
(8,8) = 8.899679422475409e-03 
(7,9) = 3.984290550644620e-03 
(6,10) = 1.460469489760250e-03 
(5,11) = 4.066028423744930e-04 
(4,12) = 1.163987645518900e-04 
(3,13) = 2.527218746041740e-05 
(2,14) = 2.104797572391200e-06 
(1,15) = 9.159032150076460e-07 
(0,16) = 7.503715348437810e-07 
(17,0) = 3.729939300733350e-04 
(16,1) = 4.422647934027250e-04 
(15,2) = 1.330970649408580e-03 
(14,3) = 6.151419283381240e-03 
(13,4) = 1.207176294469670e-02 
(12,5) = 1.811803154611770e-02 
(11,6) = 2.105734627085040e-02 
(10,7) = 1.615556111418230e-02 
(9,8) = 9.960770048056750e-03 
(8,9) = 4.981143712976550e-03 
(7,10) = 2.030361526013890e-03 
(6,11) = 6.859270765291659e-04 
(5,12) = 1.783400072045750e-04 
(4,13) = 4.024138024473110e-05 
(3,14) = 7.736099034301900e-06 
(2,15) = 1.479673633886030e-06 
(1,16) = 1.182938022726000e-06 
(0,17) = 1.263871231879840e-06 
(18,0) = 5.405063654306200e-04 
(17,1) = 4.353100193186270e-04 
(16,2) = 9.311023263610540e-04 
(15,3) = 3.752142241572690e-03 
(14,4) = 7.878275473537370e-03 
(13,5) = 1.282192412007370e-02 
(12,6) = 1.712726152369150e-02 
(11,7) = 1.473340971579630e-02 
(10,8) = 1.002489205862950e-02 
(9,9) = 5.546401737090610e-03 
(8,10) = 2.513768056261080e-03 
(7,11) = 9.395706119573030e-04 
(6,12) = 2.919958216644480e-04 
(5,13) = 6.477927228521850e-05 
(4,14) = 1.346198013719700e-05 
(3,15) = 3.162668135045610e-06 
(2,16) = 1.446208855881760e-06 
(1,17) = 1.484451800617680e-06 
(0,18) = 2.146038327723350e-06 
(19,0) = 5.039171755099020e-04 
(18,1) = 4.335515284392770e-04 
(17,2) = 6.924205182602610e-04 
(16,3) = 2.357263903779270e-03 
(15,4) = 4.826949664756210e-03 
(14,5) = 8.401280272114840e-03 
(13,6) = 1.188073556335940e-02 
(12,7) = 1.219414470694680e-02 
(11,8) = 9.128805205230170e-03 
(10,9) = 5.557674958418100e-03 
(9,10) = 2.783922036976020e-03 
(8,11) = 1.153610336255430e-03 
(7,12) = 3.971557590988710e-04 
(6,13) = 1.044069264107030e-04 
(5,14) = 2.209035877167210e-05 
(4,15) = 4.942312599042170e-06 
(3,16) = 2.037493571612710e-06 
(2,17) = 1.519043147938160e-06 
(1,18) = 1.704919527489270e-06 
(0,19) = 1.595534884754690e-06 
(20,0) = 4.277733315491390e-04 
(19,1) = 3.932112330753540e-04 
(18,2) = 5.391873586652720e-04 
(17,3) = 1.529607217915280e-03 
(16,4) = 2.990783571499180e-03 
(15,5) = 5.141988296119270e-03 
(14,6) = 7.702384737546600e-03 
(13,7) = 8.464926432986779e-03 
(12,8) = 7.582871525346410e-03 
(11,9) = 5.052105500932500e-03 
(10,10) = 2.779931041190400e-03 
(9,11) = 1.271304508837890e-03 
(8,12) = 4.847053710220890e-04 
(7,13) = 1.405471893075380e-04 
(6,14) = 3.506584837255550e-05 
(5,15) = 7.593447488902440e-06 
(4,16) = 2.484135699514970e-06 
(3,17) = 1.718958496344370e-06 
(2,18) = 1.521972416302250e-06 
(1,19) = 1.512017853011940e-06 
(0,20) = 1.556610784412760e-06 
(21,0) = 3.364072352121000e-04 
(20,1) = 3.327987533466440e-04 
(19,2) = 4.260784511828790e-04 
(18,3) = 1.025495991810680e-03 
(17,4) = 1.882382725294270e-03 
(16,5) = 3.163536063205770e-03 
(15,6) = 4.681632182978360e-03 
(14,7) = 5.475400054054330e-03 
(13,8) = 5.271526113761310e-03 
(12,9) = 4.198117532575120e-03 
(11,10) = 2.522550653140410e-03 
(10,11) = 1.265630372297170e-03 
(9,12) = 5.319700449100030e-04 
(8,13) = 1.704985671817090e-04 
(7,14) = 4.658047713289100e-05 
(6,15) = 1.147132958432270e-05 
(5,16) = 3.169963320372390e-06 
(4,17) = 1.706355659131250e-06 
(3,18) = 1.545243353744380e-06 
(2,19) = 1.388068662665060e-06 
(1,20) = 1.407871310770630e-06 
(0,21) = 1.509546175466060e-06 
(22,0) = 2.473478736484780e-04 
(21,1) = 2.668787016497970e-04 
(20,2) = 3.355679800565340e-04 
(19,3) = 7.075525463985060e-04 
(18,4) = 1.207188989684900e-03 
(17,5) = 1.962876070276570e-03 
(16,6) = 2.859813424852200e-03 
(15,7) = 3.317490327689730e-03 
(14,8) = 3.409048177059640e-03 
(13,9) = 2.920155839500540e-03 
(12,10) = 2.095048357451390e-03 
(11,11) = 1.146491391551960e-03 
(10,12) = 5.282156501079800e-04 
(9,13) = 1.864299422612490e-04 
(8,14) = 5.601378634666020e-05 
(7,15) = 1.478382957287790e-05 
(6,16) = 4.211978985975140e-06 
(5,17) = 1.750523302470250e-06 
(4,18) = 1.370995165013890e-06 
(3,19) = 1.363994780927480e-06 
(2,20) = 1.254647125876780e-06 
(1,21) = 1.292936594276130e-06 
(0,22) = 1.354701497162290e-06 
(23,0) = 1.692565176340010e-04 
(22,1) = 2.058907226032430e-04 
(21,2) = 2.616891884825460e-04 
(20,3) = 4.993396742711800e-04 
(19,4) = 7.897235621881500e-04 
(18,5) = 1.231526826939150e-03 
(17,6) = 1.757917429004810e-03 
(16,7) = 2.018040369853100e-03 
(15,8) = 2.062648350664730e-03 
(14,9) = 1.888356034780460e-03 
(13,10) = 1.457327352861050e-03 
(12,11) = 9.514778226681940e-04 
(11,12) = 4.777825522275440e-04 
(10,13) = 1.846990017465250e-04 
(9,14) = 6.091223336364250e-05 
(8,15) = 1.744996075786120e-05 
(7,16) = 5.031434496668710e-06 
(6,17) = 1.908924776520540e-06 
(5,18) = 1.210523018240460e-06 
(4,19) = 1.143293347522550e-06 
(3,20) = 1.183117952526670e-06 
(2,21) = 1.109891256412450e-06 
(1,22) = 1.135491049775240e-06 
(0,23) = 1.076798404140080e-06 
(24,0) = 1.036416085273050e-04 
(23,1) = 1.563523872625170e-04 
(22,2) = 2.026770737507680e-04 
(21,3) = 3.583685036260990e-04 
(20,4) = 5.264717346070489e-04 
(19,5) = 7.826400496020810e-04 
(18,6) = 1.088911660428310e-03 
(17,7) = 1.233485817241620e-03 
(16,8) = 1.251578484207510e-03 
(15,9) = 1.141660042538070e-03 
(14,10) = 9.422284914166221e-04 
(13,11) = 6.617385543192410e-04 
(12,12) = 3.962787927482640e-04 
(11,13) = 1.668765131635530e-04 
(10,14) = 6.014412475070730e-05 
(9,15) = 1.876363612512380e-05 
(8,16) = 5.671810563378790e-06 
(7,17) = 1.979193179734320e-06 
(6,18) = 1.101792182614700e-06 
(5,19) = 9.265989859232830e-07 
(4,20) = 9.460767771511590e-07 
(3,21) = 9.983263507347580e-07 
(2,22) = 9.493782944855730e-07 
(1,23) = 9.640261424954350e-07 
(0,24) = 6.749364802623450e-07 
(25,0) = 4.352244669830510e-05 
(24,1) = 1.218828562835120e-04 
(23,2) = 1.578691054159070e-04 
(22,3) = 2.607572418182300e-04 
(21,4) = 3.566517489028960e-04 
(20,5) = 5.040151956911020e-04 
(19,6) = 6.805074802088990e-04 
(18,7) = 7.582694688403980e-04 
(17,8) = 7.621466110087800e-04 
(16,9) = 6.916118630055370e-04 
(15,10) = 5.693032868645900e-04 
(14,11) = 4.277382733612970e-04 
(13,12) = 2.756386485276550e-04 
(12,13) = 1.384199637304700e-04 
(11,14) = 5.423844705315060e-05 
(10,15) = 1.840094440819550e-05 
(9,16) = 5.933888901620280e-06 
(8,17) = 2.025799356956490e-06 
(7,18) = 9.630077458950499e-07 
(6,19) = 7.490381313072220e-07 
(5,20) = 7.225976564119250e-07 
(4,21) = 7.594799997922600e-07 
(3,22) = 8.104831304801730e-07 
(2,23) = 7.880724935050030e-07 
(1,24) = 8.505299196176520e-07 
(0,25) = 1.190164860878760e-07 
(26,0) = 2.152448600186270e-05 
(25,1) = 6.198314208180520e-05 
(24,2) = 1.274428425007370e-04 
(23,3) = 1.935693294000920e-04 
(22,4) = 2.449355644998870e-04 
(21,5) = 3.290049656853050e-04 
(20,6) = 4.296970248016920e-04 
(19,7) = 4.694910146023300e-04 
(18,8) = 4.663068065630480e-04 
(17,9) = 4.202056200872010e-04 
(16,10) = 3.445531503808820e-04 
(15,11) = 2.583578437895290e-04 
(14,12) = 1.781905173530410e-04 
(13,13) = 9.647616662746489e-05 
(12,14) = 4.496757973410830e-05 
(11,15) = 1.652952626372820e-05 
(10,16) = 5.725726774482930e-06 
(9,17) = 1.993816980742990e-06 
(8,18) = 8.526059104714960e-07 
(7,19) = 5.710008951932469e-07 
(6,20) = 5.420078175744890e-07 
(5,21) = 5.505806814994170e-07 
(4,22) = 5.815850353824480e-07 
(3,23) = 6.291264433526960e-07 
(2,24) = 6.449808548889080e-07 
(1,25) = 1.921183072910530e-07 
(0,26) = 2.816713991930330e-08 
(27,0) = 1.468577524410890e-05 
(26,1) = 3.312884036169340e-05 
(25,2) = 7.077817368865190e-05 
(24,3) = 1.493843559052080e-04 
(23,4) = 1.703205135392430e-04 
(22,5) = 2.177668670306570e-04 
(21,6) = 2.746122633408960e-04 
(20,7) = 2.933392252521550e-04 
(19,8) = 2.871245210736150e-04 
(18,9) = 2.563943665374860e-04 
(17,10) = 2.090925159467180e-04 
(16,11) = 1.563024400658820e-04 
(15,12) = 1.076368440844500e-04 
(14,13) = 6.243769871166810e-05 
(13,14) = 3.136825904009190e-05 
(12,15) = 1.367870597164850e-05 
(11,16) = 5.095290363019940e-06 
(10,17) = 1.853444738206560e-06 
(9,18) = 7.533041334490700e-07 
(8,19) = 4.369800181788620e-07 
(7,20) = 3.781674216715190e-07 
(6,21) = 3.909331805961960e-07 
(5,22) = 3.997505550886980e-07 
(4,23) = 4.160654326457490e-07 
