1  4  0  1 
2  0  4  1 
1  5  0  2 
1  4  1  1 
2  1  4  1 
2  0  5  2 
1  6  0  3 
1  5  1  2 
1  4  2  1 
2  2  4  1 
2  1  5  2 
2  0  6  3 
1  7  0  3 
1  6  1  2 
1  5  2  1 
2  2  5  1 
2  1  6  2 
2  0  7  3 
1  8  0  3 
1  7  1  2 
1  6  2  1 
2  2  6  1 
2  1  7  2 
2  0  8  3 
1  9  0  3 
1  8  1  2 
1  7  2  1 
2  2  7  1 
2  1  8  2 
2  0  9  3 
1  10  0  3 
1  9  1  2 
1  8  2  1 
2  2  8  1 
2  1  9  2 
2  0  10  3 
1  11  0  3 
1  10  1  2 
1  9  2  1 
2  7  4  1 
1  4  7  1 
2  2  9  1 
2  1  10  2 
2  0  11  3 
1  12  0  3 
1  11  1  2 
1  10  2  1 
2  8  4  1 
2  7  5  2 
1  5  7  2 
1  4  8  1 
2  2  10  1 
2  1  11  2 
2  0  12  3 
1  13  0  3 
1  12  1  2 
1  11  2  1 
2  9  4  1 
2  8  5  2 
2  7  6  3 
1  6  7  3 
1  5  8  2 
1  4  9  1 
2  2  11  1 
2  1  12  2 
2  0  13  3 
1  14  0  3 
1  13  1  2 
1  12  2  1 
2  10  4  1 
2  9  5  2 
2  8  6  3 
1  6  8  3 
1  5  9  2 
1  4  10  1 
2  2  12  1 
2  1  13  2 
2  0  14  3 
1  15  0  3 
1  14  1  2 
1  13  2  1 
2  11  4  1 
2  10  5  2 
2  9  6  3 
1  6  9  3 
1  5  10  2 
1  4  11  1 
2  2  13  1 
2  1  14  2 
2  0  15  3 
1  16  0  6 
1  15  1  5 
1  14  2  4 
1  13  3  3 
1  12  4  2 
1  11  5  1 
2  5  11  1 
2  4  12  2 
2  3  13  3 
2  2  14  4 
2  1  15  5 
2  0  16  6 
1  17  0  6 
1  16  1  5 
1  15  2  4 
1  14  3  3 
1  13  4  2 
1  12  5  1 
2  5  12  1 
2  4  13  2 
2  3  14  3 
2  2  15  4 
2  1  16  5 
2  0  17  6 
2  17  1  1 
2  16  2  2 
2  15  3  3 
2  14  4  4 
2  13  5  5 
2  12  6  6 
1  6  12  6 
1  5  13  5 
1  4  14  4 
1  3  15  3 
1  2  16  2 
1  1  17  1 
2  18  1  1 
2  17  2  2 
2  16  3  3 
2  15  4  4 
2  14  5  5 
2  13  6  6 
1  6  13  6 
1  5  14  5 
1  4  15  4 
1  3  16  3 
1  2  17  2 
1  1  18  1 
2  19  1  1 
2  18  2  2 
2  17  3  3 
2  16  4  4 
2  15  5  5 
2  14  6  6 
2  13  7  7 
1  7  13  7 
1  6  14  6 
1  5  15  5 
1  4  16  4 
1  3  17  3 
1  2  18  2 
1  1  19  1 
2  20  1  1 
2  19  2  2 
2  18  3  3 
2  17  4  4 
2  16  5  5 
2  15  6  6 
2  14  7  7 
2  13  8  8 
1  8  13  8 
1  7  14  7 
1  6  15  6 
1  5  16  5 
1  4  17  4 
1  3  18  3 
1  2  19  2 
1  1  20  1 
2  21  1  1 
2  20  2  2 
2  19  3  3 
2  18  4  4 
2  17  5  5 
2  16  6  6 
2  15  7  7 
2  14  8  8 
2  13  9  9 
1  9  13  9 
1  8  14  8 
1  7  15  7 
1  6  16  6 
1  5  17  5 
1  4  18  4 
1  3  19  3 
1  2  20  2 
1  1  21  1 
2  22  1  1 
2  21  2  2 
2  20  3  3 
2  19  4  4 
2  18  5  5 
2  17  6  6 
2  16  7  7 
2  15  8  8 
2  14  9  9 
2  13  10  10 
1  10  13  10 
1  9  14  9 
1  8  15  8 
1  7  16  7 
1  6  17  6 
1  5  18  5 
1  4  19  4 
1  3  20  3 
1  2  21  2 
1  1  22  1 
2  23  1  1 
2  22  2  2 
2  21  3  3 
2  20  4  4 
2  19  5  5 
2  18  6  6 
2  17  7  7 
2  16  8  8 
2  15  9  9 
2  14  10  10 
2  13  11  11 
1  11  13  11 
1  10  14  10 
1  9  15  9 
1  8  16  8 
1  7  17  7 
1  6  18  6 
1  5  19  5 
1  4  20  4 
1  3  21  3 
1  2  22  2 
1  1  23  1 
1  25  0  1 
2  23  2  1 
2  22  3  2 
2  21  4  3 
2  20  5  4 
2  19  6  5 
2  18  7  6 
2  17  8  7 
2  16  9  8 
2  15  10  9 
2  14  11  10 
2  13  12  11 
1  12  13  11 
1  11  14  10 
1  10  15  9 
1  9  16  8 
1  8  17  7 
1  7  18  6 
1  6  19  5 
1  5  20  4 
1  4  21  3 
1  3  22  2 
1  2  23  1 
2  0  25  1 
1  26  0  2 
1  25  1  1 
2  23  3  1 
2  22  4  2 
2  21  5  3 
2  20  6  4 
2  19  7  5 
2  18  8  6 
2  17  9  7 
2  16  10  8 
2  15  11  9 
2  14  12  10 
1  12  14  10 
1  11  15  9 
1  10  16  8 
1  9  17  7 
1  8  18  6 
1  7  19  5 
1  6  20  4 
1  5  21  3 
1  4  22  2 
1  3  23  1 
2  1  25  1 
2  0  26  2 
1  27  0  3 
1  26  1  2 
1  25  2  1 
2  23  4  1 
2  22  5  2 
2  21  6  3 
2  20  7  4 
2  19  8  5 
2  18  9  6 
2  17  10  7 
2  16  11  8 
2  15  12  9 
1  12  15  9 
1  11  16  8 
1  10  17  7 
1  9  18  6 
1  8  19  5 
1  7  20  4 
1  6  21  3 
1  5  22  2 
1  4  23  1 
2  2  25  1 
2  1  26  2 
2  0  27  3 
2  27  1  1 
2  26  2  2 
2  25  3  3 
2  24  4  4 
2  23  5  5 
2  22  6  6 
2  21  7  7 
2  20  8  8 
2  19  9  9 
2  18  10  10 
2  17  11  11 
2  16  12  12 
1  12  16  12 
1  11  17  11 
1  10  18  10 
1  9  19  9 
1  8  20  8 
1  7  21  7 
1  6  22  6 
1  5  23  5 
1  4  24  4 
1  3  25  3 
1  2  26  2 
1  1  27  1 
2  28  1  1 
2  27  2  2 
2  26  3  3 
2  25  4  4 
2  24  5  5 
2  23  6  6 
2  22  7  7 
2  21  8  8 
2  20  9  9 
2  19  10  10 
2  18  11  11 
2  17  12  12 
1  12  17  12 
1  11  18  11 
1  10  19  10 
1  9  20  9 
1  8  21  8 
1  7  22  7 
1  6  23  6 
1  5  24  5 
1  4  25  4 
1  3  26  3 
1  2  27  2 
1  1  28  1 
2  29  1  1 
2  28  2  2 
2  27  3  3 
2  26  4  4 
2  25  5  5 
2  24  6  6 
2  23  7  7 
2  22  8  8 
2  21  9  9 
2  20  10  10 
2  19  11  11 
2  18  12  12 
1  12  18  12 
1  11  19  11 
1  10  20  10 
1  9  21  9 
1  8  22  8 
1  7  23  7 
1  6  24  6 
1  5  25  5 
1  4  26  4 
1  3  27  3 
1  2  28  2 
1  1  29  1 
2  30  1  1 
2  29  2  2 
2  28  3  3 
2  27  4  4 
2  26  5  5 
2  25  6  6 
2  24  7  7 
2  23  8  8 
2  22  9  9 
2  21  10  10 
2  20  11  11 
2  19  12  12 
1  12  19  12 
1  11  20  11 
1  10  21  10 
1  9  22  9 
1  8  23  8 
1  7  24  7 
1  6  25  6 
1  5  26  5 
1  4  27  4 
1  3  28  3 
1  2  29  2 
1  1  30  1 
2  31  1  1 
2  30  2  2 
2  29  3  3 
2  28  4  4 
2  27  5  5 
2  26  6  6 
2  25  7  7 
2  24  8  8 
2  23  9  9 
2  22  10  10 
2  21  11  11 
2  20  12  12 
1  12  20  12 
1  11  21  11 
1  10  22  10 
1  9  23  9 
1  8  24  8 
1  7  25  7 
1  6  26  6 
1  5  27  5 
1  4  28  4 
1  3  29  3 
1  2  30  2 
1  1  31  1 
2  32  1  1 
2  31  2  2 
2  30  3  3 
2  29  4  4 
2  28  5  5 
2  27  6  6 
2  26  7  7 
2  25  8  8 
2  24  9  9 
2  23  10  10 
2  22  11  11 
2  21  12  12 
1  12  21  12 
1  11  22  11 
1  10  23  10 
1  9  24  9 
1  8  25  8 
1  7  26  7 
1  6  27  6 
1  5  28  5 
1  4  29  4 
1  3  30  3 
1  2  31  2 
1  1  32  1 
2  33  1  1 
2  32  2  2 
2  31  3  3 
2  30  4  4 
2  29  5  5 
2  28  6  6 
2  27  7  7 
2  26  8  8 
2  25  9  9 
2  24  10  10 
2  23  11  11 
2  22  12  12 
1  12  22  12 
1  11  23  11 
1  10  24  10 
1  9  25  9 
1  8  26  8 
1  7  27  7 
1  6  28  6 
1  5  29  5 
1  4  30  4 
1  3  31  3 
1  2  32  2 
1  1  33  1 
2  34  1  1 
2  33  2  2 
2  32  3  3 
2  31  4  4 
2  30  5  5 
2  29  6  6 
2  28  7  7 
2  27  8  8 
2  26  9  9 
2  25  10  10 
2  24  11  11 
2  23  12  12 
1  12  23  12 
1  11  24  11 
1  10  25  10 
1  9  26  9 
1  8  27  8 
1  7  28  7 
1  6  29  6 
1  5  30  5 
1  4  31  4 
1  3  32  3 
1  2  33  2 
1  1  34  1 
2  35  1  1 
2  34  2  2 
2  33  3  3 
2  32  4  4 
2  31  5  5 
2  30  6  6 
2  29  7  7 
2  28  8  8 
2  27  9  9 
2  26  10  10 
2  25  11  11 
2  24  12  12 
1  12  24  12 
1  11  25  11 
1  10  26  10 
1  9  27  9 
1  8  28  8 
1  7  29  7 
1  6  30  6 
1  5  31  5 
1  4  32  4 
1  3  33  3 
1  2  34  2 
1  1  35  1 
2  36  1  1 
2  35  2  2 
2  34  3  3 
2  33  4  4 
2  32  5  5 
2  31  6  6 
2  30  7  7 
2  29  8  8 
2  28  9  9 
