1  4  0  2 
2  0  4  2 
1  5  0  3 
1  4  1  2 
2  1  4  1 
2  0  5  2 
1  6  0  3 
1  5  1  2 
1  4  2  1 
2  2  4  1 
2  1  5  2 
2  0  6  3 
1  7  0  4 
1  6  1  3 
1  5  2  2 
2  2  5  1 
2  1  6  2 
2  0  7  3 
1  8  0  4 
2  0  8  4 
1  9  0  5 
1  8  1  4 
2  1  8  3 
2  0  9  4 
1  10  0  5 
1  9  1  4 
2  1  9  4 
2  0  10  5 
1  10  1  5 
1  7  4  2 
2  4  7  1 
2  1  10  4 
1  10  2  4 
1  8  4  2 
1  7  5  1 
2  5  7  1 
2  4  8  2 
2  2  10  4 
1  9  4  3 
1  8  5  2 
2  5  8  1 
2  4  9  2 
1  13  8  3 
2  8  13  2 
1  14  8  3 
1  13  9  2 
2  9  13  2 
2  8  14  3 
1  15  8  4 
1  14  9  3 
1  13  10  2 
2  10  13  1 
2  9  14  2 
2  8  15  3 
1  16  8  4 
1  15  9  3 
1  14  10  2 
1  13  11  1 
2  11  13  1 
2  10  14  2 
2  9  15  3 
2  8  16  4 
1  25  10  8 
2  10  25  7 
1  26  10  8 
1  25  11  7 
2  11  25  7 
2  10  26  8 
1  27  10  9 
1  26  11  8 
1  25  12  7 
2  12  25  6 
2  11  26  7 
2  10  27  8 
1  28  10  9 
1  27  11  8 
1  26  12  7 
1  25  13  6 
2  13  25  6 
2  12  26  7 
2  11  27  8 
2  10  28  9 
1  29  10  10 
1  28  11  9 
1  27  12  8 
1  26  13  7 
1  25  14  6 
2  14  25  5 
2  13  26  6 
2  12  27  7 
2  11  28  8 
2  10  29  9 
1  30  10  10 
1  29  11  9 
1  28  12  8 
1  27  13  7 
1  26  14  6 
1  25  15  5 
2  15  25  5 
2  14  26  6 
2  13  27  7 
2  12  28  8 
2  11  29  9 
2  10  30  10 
1  31  10  11 
1  30  11  10 
1  29  12  9 
1  28  13  8 
1  27  14  7 
1  26  15  6 
1  25  16  5 
2  16  25  4 
2  15  26  5 
2  14  27  6 
