1  13  0  1 
2  0  13  1 
1  14  0  2 
1  13  1  1 
2  1  13  1 
2  0  14  2 
1  15  0  3 
1  14  1  2 
1  13  2  1 
2  2  13  1 
2  1  14  2 
2  0  15  3 
1  16  0  4 
1  15  1  3 
1  14  2  2 
1  13  3  1 
2  3  13  1 
2  2  14  2 
2  1  15  3 
2  0  16  4 
1  16  1  4 
1  15  2  3 
1  14  3  2 
1  13  4  1 
2  4  13  1 
2  3  14  2 
2  2  15  3 
2  1  16  4 
1  17  1  5 
1  16  2  4 
1  15  3  3 
1  14  4  2 
1  13  5  1 
2  5  13  1 
2  4  14  2 
2  3  15  3 
2  2  16  4 
2  1  17  5 
1  18  1  6 
1  17  2  5 
1  16  3  4 
1  15  4  3 
1  14  5  2 
1  13  6  1 
2  6  13  1 
2  5  14  2 
2  4  15  3 
2  3  16  4 
2  2  17  5 
2  1  18  6 
1  19  1  7 
1  18  2  6 
1  17  3  5 
1  16  4  4 
1  15  5  3 
1  14  6  2 
1  13  7  1 
2  7  13  1 
2  6  14  2 
2  5  15  3 
2  4  16  4 
2  3  17  5 
2  2  18  6 
2  1  19  7 
1  20  1  8 
1  19  2  7 
1  18  3  6 
1  17  4  5 
1  16  5  4 
1  15  6  3 
1  14  7  2 
1  13  8  1 
2  8  13  1 
2  7  14  2 
2  6  15  3 
2  5  16  4 
2  4  17  5 
2  3  18  6 
2  2  19  7 
2  1  20  8 
1  21  1  9 
1  20  2  8 
1  19  3  7 
1  18  4  6 
1  17  5  5 
1  16  6  4 
1  15  7  3 
1  14  8  2 
1  13  9  1 
2  9  13  1 
2  8  14  2 
2  7  15  3 
2  6  16  4 
2  5  17  5 
2  4  18  6 
2  3  19  7 
2  2  20  8 
2  1  21  9 
1  22  1  10 
1  21  2  9 
1  20  3  8 
1  19  4  7 
1  18  5  6 
1  17  6  5 
1  16  7  4 
1  15  8  3 
1  14  9  2 
1  13  10  1 
2  10  13  1 
2  9  14  2 
2  8  15  3 
2  7  16  4 
2  6  17  5 
2  5  18  6 
2  4  19  7 
2  3  20  8 
2  2  21  9 
2  1  22  10 
1  23  1  11 
1  22  2  10 
1  21  3  9 
1  20  4  8 
1  19  5  7 
1  18  6  6 
1  17  7  5 
1  16  8  4 
1  15  9  3 
1  14  10  2 
1  13  11  1 
2  11  13  1 
2  10  14  2 
2  9  15  3 
2  8  16  4 
2  7  17  5 
2  6  18  6 
2  5  19  7 
2  4  20  8 
2  3  21  9 
2  2  22  10 
2  1  23  11 
1  25  4  3 
2  4  25  3 
1  26  4  4 
1  25  5  3 
2  5  25  3 
2  4  26  4 
1  27  4  5 
1  26  5  4 
1  25  6  3 
2  6  25  3 
2  5  26  4 
2  4  27  5 
1  28  4  6 
1  27  5  5 
1  26  6  4 
1  25  7  3 
2  7  25  3 
2  6  26  4 
2  5  27  5 
2  4  28  6 
1  29  4  7 
1  28  5  6 
1  27  6  5 
1  26  7  4 
1  25  8  3 
2  8  25  3 
2  7  26  4 
2  6  27  5 
2  5  28  6 
2  4  29  7 
1  30  4  8 
1  29  5  7 
1  28  6  6 
1  27  7  5 
1  26  8  4 
1  25  9  3 
2  9  25  3 
2  8  26  4 
2  7  27  5 
2  6  28  6 
2  5  29  7 
2  4  30  8 
2  25  13  12 
1  13  25  12 
2  26  13  12 
2  25  14  13 
1  14  25  13 
1  13  26  12 
1  37  3  5 
2  27  13  12 
2  26  14  13 
2  25  15  14 
1  15  25  14 
1  14  26  13 
1  13  27  12 
2  3  37  5 
1  38  3  6 
1  37  4  5 
2  28  13  12 
2  27  14  13 
2  26  15  14 
2  25  16  15 
1  16  25  15 
1  15  26  14 
1  14  27  13 
1  13  28  12 
2  4  37  5 
2  3  38  6 
1  38  4  6 
1  37  5  5 
2  29  13  12 
2  28  14  13 
2  27  15  14 
2  26  16  15 
2  25  17  16 
1  17  25  16 
1  16  26  15 
1  15  27  14 
1  14  28  13 
1  13  29  12 
2  5  37  5 
2  4  38  6 
1  39  4  7 
1  38  5  6 
1  37  6  5 
2  30  13  12 
2  29  14  13 
2  28  15  14 
2  27  16  15 
2  26  17  16 
2  25  18  17 
1  18  25  17 
1  17  26  16 
1  16  27  15 
1  15  28  14 
1  14  29  13 
1  13  30  12 
2  6  37  5 
2  5  38  6 
2  4  39  7 
1  40  4  8 
1  39  5  7 
1  38  6  6 
1  37  7  5 
2  31  13  11 
2  30  14  12 
2  29  15  13 
2  28  16  14 
2  27  17  15 
2  26  18  16 
2  25  19  17 
1  19  25  17 
1  18  26  16 
1  17  27  15 
1  16  28  14 
1  15  29  13 
1  14  30  12 
1  13  31  11 
2  7  37  5 
2  6  38  6 
2  5  39  7 
2  4  40  8 
2  32  13  10 
2  31  14  11 
2  30  15  12 
2  29  16  13 
2  28  17  14 
2  27  18  15 
