1  16  0  1 
2  0  16  1 
1  17  0  2 
1  16  1  1 
2  1  16  1 
2  0  17  2 
1  18  0  3 
1  17  1  2 
1  16  2  1 
2  2  16  1 
2  1  17  2 
2  0  18  3 
1  19  0  4 
1  18  1  3 
1  17  2  2 
1  16  3  1 
2  3  16  1 
2  2  17  2 
2  1  18  3 
2  0  19  4 
1  20  0  5 
1  19  1  4 
1  18  2  3 
1  17  3  2 
1  16  4  1 
2  4  16  1 
2  3  17  2 
2  2  18  3 
2  1  19  4 
2  0  20  5 
1  21  0  6 
1  20  1  5 
1  19  2  4 
1  18  3  3 
1  17  4  2 
1  16  5  1 
2  5  16  1 
2  4  17  2 
2  3  18  3 
2  2  19  4 
2  1  20  5 
2  0  21  6 
1  22  0  7 
1  21  1  6 
1  20  2  5 
1  19  3  4 
1  18  4  3 
1  17  5  2 
1  16  6  1 
2  6  16  1 
2  5  17  2 
2  4  18  3 
2  3  19  4 
2  2  20  5 
2  1  21  6 
2  0  22  7 
1  23  0  8 
1  22  1  7 
1  21  2  6 
1  20  3  5 
1  19  4  4 
1  18  5  3 
1  17  6  2 
1  16  7  1 
2  7  16  1 
2  6  17  2 
2  5  18  3 
2  4  19  4 
2  3  20  5 
2  2  21  6 
2  1  22  7 
2  0  23  8 
1  24  0  9 
1  23  1  8 
1  22  2  7 
1  21  3  6 
1  20  4  5 
1  19  5  4 
1  18  6  3 
1  17  7  2 
1  16  8  1 
2  8  16  1 
2  7  17  2 
2  6  18  3 
2  5  19  4 
2  4  20  5 
2  3  21  6 
2  2  22  7 
2  1  23  8 
2  0  24  9 
1  25  0  10 
1  24  1  9 
1  23  2  8 
1  22  3  7 
1  21  4  6 
1  20  5  5 
1  19  6  4 
1  18  7  3 
1  17  8  2 
1  16  9  1 
2  9  16  1 
2  8  17  2 
2  7  18  3 
2  6  19  4 
2  5  20  5 
2  4  21  6 
2  3  22  7 
2  2  23  8 
2  1  24  9 
2  0  25  10 
1  26  0  11 
1  25  1  10 
1  24  2  9 
1  23  3  8 
1  22  4  7 
1  21  5  6 
1  20  6  5 
1  19  7  4 
1  18  8  3 
1  17  9  2 
1  16  10  1 
2  10  16  1 
2  9  17  2 
2  8  18  3 
2  7  19  4 
2  6  20  5 
2  5  21  6 
2  4  22  7 
2  3  23  8 
2  2  24  9 
2  1  25  10 
2  0  26  11 
1  27  0  12 
1  26  1  11 
1  25  2  10 
1  24  3  9 
1  23  4  8 
1  22  5  7 
1  21  6  6 
1  20  7  5 
1  19  8  4 
1  18  9  3 
1  17  10  2 
1  16  11  1 
2  11  16  1 
2  10  17  2 
2  9  18  3 
2  8  19  4 
2  7  20  5 
2  6  21  6 
2  5  22  7 
2  4  23  8 
2  3  24  9 
2  2  25  10 
2  1  26  11 
2  0  27  12 
1  28  0  13 
1  27  1  12 
1  26  2  11 
1  25  3  10 
1  24  4  9 
1  23  5  8 
1  22  6  7 
1  21  7  6 
1  20  8  5 
1  19  9  4 
1  18  10  3 
1  17  11  2 
1  16  12  1 
2  12  16  1 
2  11  17  2 
2  10  18  3 
2  9  19  4 
2  8  20  5 
2  7  21  6 
2  6  22  7 
2  5  23  8 
2  4  24  9 
2  3  25  10 
2  2  26  11 
2  1  27  12 
2  0  28  13 
1  29  0  14 
1  28  1  13 
1  27  2  12 
1  26  3  11 
1  25  4  10 
1  24  5  9 
1  23  6  8 
1  22  7  7 
1  21  8  6 
1  20  9  5 
1  19  10  4 
1  18  11  3 
1  17  12  2 
1  16  13  1 
2  13  16  1 
2  12  17  2 
2  11  18  3 
2  10  19  4 
2  9  20  5 
2  8  21  6 
2  7  22  7 
2  6  23  8 
2  5  24  9 
2  4  25  10 
2  3  26  11 
2  2  27  12 
2  1  28  13 
2  0  29  14 
1  30  0  15 
1  29  1  14 
1  28  2  13 
1  27  3  12 
1  26  4  11 
1  25  5  10 
1  24  6  9 
1  23  7  8 
1  22  8  7 
1  21  9  6 
1  20  10  5 
1  19  11  4 
1  18  12  3 
1  17  13  2 
1  16  14  1 
2  14  16  1 
2  13  17  2 
2  12  18  3 
2  11  19  4 
2  10  20  5 
2  9  21  6 
2  8  22  7 
2  7  23  8 
2  6  24  9 
2  5  25  10 
2  4  26  11 
2  3  27  12 
2  2  28  13 
2  1  29  14 
2  0  30  15 
1  31  0  1 
2  29  2  1 
2  28  3  2 
2  27  4  3 
2  26  5  4 
2  25  6  5 
2  24  7  6 
2  23  8  7 
2  22  9  8 
2  21  10  9 
2  20  11  10 
2  19  12  11 
2  18  13  12 
2  17  14  13 
2  16  15  14 
1  15  16  14 
1  14  17  13 
1  13  18  12 
1  12  19  11 
1  11  20  10 
1  10  21  9 
1  9  22  8 
1  8  23  7 
1  7  24  6 
1  6  25  5 
1  5  26  4 
1  4  27  3 
1  3  28  2 
1  2  29  1 
2  0  31  1 
1  32  0  2 
1  31  1  1 
2  29  3  1 
2  28  4  2 
2  27  5  3 
2  26  6  4 
2  25  7  5 
2  24  8  6 
2  23  9  7 
2  22  10  8 
2  21  11  9 
2  20  12  10 
2  19  13  11 
2  18  14  12 
2  17  15  13 
1  15  17  13 
1  14  18  12 
1  13  19  11 
1  12  20  10 
1  11  21  9 
1  10  22  8 
1  9  23  7 
1  8  24  6 
1  7  25  5 
1  6  26  4 
1  5  27  3 
1  4  28  2 
1  3  29  1 
2  1  31  1 
2  0  32  2 
1  33  0  3 
1  32  1  2 
1  31  2  1 
2  29  4  1 
2  28  5  2 
2  27  6  3 
2  26  7  4 
2  25  8  5 
2  24  9  6 
2  23  10  7 
2  22  11  8 
2  21  12  9 
2  20  13  10 
2  19  14  11 
2  18  15  12 
1  15  18  12 
1  14  19  11 
1  13  20  10 
1  12  21  9 
1  11  22  8 
1  10  23  7 
1  9  24  6 
1  8  25  5 
1  7  26  4 
1  6  27  3 
1  5  28  2 
1  4  29  1 
2  2  31  1 
2  1  32  2 
2  0  33  3 
1  34  0  4 
1  33  1  3 
1  32  2  2 
1  31  3  1 
2  29  5  1 
2  28  6  2 
2  27  7  3 
2  26  8  4 
2  25  9  5 
2  24  10  6 
2  23  11  7 
2  22  12  8 
2  21  13  9 
2  20  14  10 
2  19  15  11 
1  15  19  11 
1  14  20  10 
1  13  21  9 
1  12  22  8 
1  11  23  7 
1  10  24  6 
1  9  25  5 
1  8  26  4 
1  7  27  3 
1  6  28  2 
1  5  29  1 
2  3  31  1 
2  2  32  2 
2  1  33  3 
2  0  34  4 
1  35  0  5 
1  34  1  4 
1  33  2  3 
1  32  3  2 
1  31  4  1 
2  29  6  1 
2  28  7  2 
2  27  8  3 
2  26  9  4 
2  25  10  5 
2  24  11  6 
2  23  12  7 
2  22  13  8 
2  21  14  9 
2  20  15  10 
1  15  20  10 
1  14  21  9 
1  13  22  8 
1  12  23  7 
1  11  24  6 
1  10  25  5 
1  9  26  4 
1  8  27  3 
1  7  28  2 
1  6  29  1 
2  4  31  1 
2  3  32  2 
2  2  33  3 
2  1  34  4 
2  0  35  5 
1  36  0  6 
1  35  1  5 
1  34  2  4 
1  33  3  3 
1  32  4  2 
1  31  5  1 
2  29  7  1 
2  28  8  2 
2  27  9  3 
2  26  10  4 
2  25  11  5 
2  24  12  6 
2  23  13  7 
2  22  14  8 
2  21  15  9 
1  15  21  9 
1  14  22  8 
1  13  23  7 
1  12  24  6 
1  11  25  5 
1  10  26  4 
1  9  27  3 
1  8  28  2 
1  7  29  1 
2  5  31  1 
2  4  32  2 
2  3  33  3 
2  2  34  4 
2  1  35  5 
2  0  36  6 
1  37  0  7 
1  36  1  6 
1  35  2  5 
1  34  3  4 
1  33  4  3 
1  32  5  2 
1  31  6  1 
2  29  8  1 
2  28  9  2 
2  27  10  3 
2  26  11  4 
2  25  12  5 
2  24  13  6 
2  23  14  7 
2  22  15  8 
1  15  22  8 
1  14  23  7 
1  13  24  6 
1  12  25  5 
1  11  26  4 
1  10  27  3 
1  9  28  2 
1  8  29  1 
2  6  31  1 
2  5  32  2 
2  4  33  3 
2  3  34  4 
2  2  35  5 
2  1  36  6 
2  0  37  7 
1  37  1  7 
1  36  2  6 
1  35  3  5 
1  34  4  4 
1  33  5  3 
1  32  6  2 
1  31  7  1 
2  29  9  1 
2  28  10  2 
2  27  11  3 
2  26  12  4 
2  25  13  5 
2  24  14  6 
2  23  15  7 
1  15  23  7 
1  14  24  6 
1  13  25  5 
1  12  26  4 
1  11  27  3 
1  10  28  2 
1  9  29  1 
2  7  31  1 
2  6  32  2 
2  5  33  3 
2  4  34  4 
2  3  35  5 
2  2  36  6 
2  1  37  7 
2  38  1  1 
2  37  2  2 
2  36  3  3 
2  35  4  4 
2  34  5  5 
2  33  6  6 
2  32  7  7 
2  31  8  8 
2  30  9  9 
2  29  10  10 
2  28  11  11 
2  27  12  12 
2  26  13  13 
2  25  14  14 
2  24  15  15 
1  15  24  15 
1  14  25  14 
1  13  26  13 
1  12  27  12 
1  11  28  11 
1  10  29  10 
