(1,9) = 3.252427280558300e-21 
(0,10) = 1.578643508809900e-22 
(11,0) = 2.338088864645930e-22 
(10,1) = 4.820438011549550e-21 
(9,2) = 4.977565685716040e-20 
(8,3) = 3.096282533794280e-19 
(7,4) = 7.200828132010650e-19 
(6,5) = 1.204407267821850e-18 
(5,6) = 1.228435497613760e-18 
(4,7) = 7.217572398204360e-19 
(3,8) = 3.088292970884260e-19 
(2,9) = 4.958710416295910e-20 
(1,10) = 4.800573015978650e-21 
(0,11) = 2.328228165900530e-22 
(12,0) = 3.443592266005490e-22 
(11,1) = 7.099910312539789e-21 
(10,2) = 7.334360059455190e-20 
(9,3) = 5.064087267401780e-19 
(8,4) = 1.319038282178790e-18 
(7,5) = 2.486345415839380e-18 
(6,6) = 3.485889772838250e-18 
(5,7) = 2.517871269311520e-18 
(4,8) = 1.319827547941030e-18 
(3,9) = 5.052781025420660e-19 
(2,10) = 7.311033733183650e-20 
(1,11) = 7.074638936334060e-21 
(0,12) = 3.430529255605420e-22 
(13,0) = 4.609516444043170e-22 
(12,1) = 1.045012410851300e-20 
(11,2) = 1.079294198667680e-19 
(10,3) = 7.452187647743590e-19 
(9,4) = 2.152342508817290e-18 
(8,5) = 4.527039198014180e-18 
(7,6) = 7.235952398753300e-18 
(6,7) = 7.391341059514879e-18 
(5,8) = 4.548749326779830e-18 
(4,9) = 2.150955457843500e-18 
(3,10) = 7.435154551347540e-19 
(2,11) = 1.076090120272690e-19 
(1,12) = 1.041503026411240e-20 
(0,13) = 4.592557629206350e-22 
(14,0) = 6.162127088224320e-22 
(13,1) = 1.397835690904870e-20 
(12,2) = 1.587043483526040e-19 
(11,3) = 1.095106509594310e-18 
(10,4) = 3.160457144908500e-18 
(9,5) = 7.353681189783571e-18 
(8,6) = 1.304555770702530e-17 
(7,7) = 1.618957460908710e-17 
(6,8) = 1.324399609117840e-17 
(5,9) = 7.374420761703550e-18 
(4,10) = 3.158522933192220e-18 
(3,11) = 1.092996352725040e-18 
(2,12) = 1.582870135765170e-19 
(1,13) = 1.393456764535200e-20 
(0,14) = 6.140130999266610e-22 
(15,0) = 8.232546378166840e-22 
(14,1) = 1.867624352377740e-20 
(13,2) = 2.121450143585740e-19 
(12,3) = 1.608789232089250e-18 
(11,4) = 4.637706721814610e-18 
(10,5) = 1.077026972633780e-17 
(9,6) = 2.106526749706130e-17 
(8,7) = 2.931335501222760e-17 
(7,8) = 3.003608313452660e-17 
(6,9) = 2.122078685264930e-17 
(5,10) = 1.078467810540400e-17 
(4,11) = 4.633471684506950e-18 
(3,12) = 1.605633098230330e-18 
(2,13) = 2.115868953505550e-19 
(1,14) = 1.861685693710100e-20 
(0,15) = 8.202195496950860e-22 
(16,0) = 1.099562665536260e-21 
(15,1) = 2.493561063640340e-20 
(14,2) = 2.832269598732040e-19 
(13,3) = 2.148436254604110e-18 
(12,4) = 6.803467931561930e-18 
(11,5) = 1.576631827968930e-17 
(10,6) = 3.071295448618750e-17 
(9,7) = 4.690235672791340e-17 
(8,8) = 5.756316089435790e-17 
(7,9) = 4.773678562375490e-17 
(6,10) = 3.086819099348230e-17 
(5,11) = 1.578180872126020e-17 
(4,12) = 6.797726498009140e-18 
(3,13) = 2.144462497933380e-18 
(2,14) = 2.824929581986020e-19 
(1,15) = 2.485517081871580e-20 
(0,16) = 1.095371802810660e-21 
(17,0) = 1.468833576414740e-21 
(16,1) = 3.328811061122360e-20 
(15,2) = 3.779247458572740e-19 
(14,3) = 2.866194325572940e-18 
(13,4) = 9.077049613365511e-18 
(12,5) = 2.309244461946040e-17 
(11,6) = 4.483359079352330e-17 
(10,7) = 6.797699347336420e-17 
(9,8) = 9.249017784627361e-17 
(8,9) = 9.503216252591690e-17 
(7,10) = 6.866141863322090e-17 
(6,11) = 4.497481597853690e-17 
(5,12) = 2.310089591444610e-17 
(4,13) = 9.067101504079781e-18 
(3,14) = 2.860334869559090e-18 
(2,15) = 3.768650500271250e-19 
(1,16) = 3.317234590255160e-20 
(0,17) = 1.462814295347380e-21 
(18,0) = 1.962770278769130e-21 
(17,1) = 4.444331413590530e-20 
(16,2) = 5.041852923413070e-19 
(15,3) = 3.821432563264000e-18 
(14,4) = 1.209717109364490e-17 
(13,5) = 3.076371577291330e-17 
(12,6) = 6.550304445747140e-17 
(11,7) = 9.876238620122051e-17 
(10,8) = 1.328742306591820e-16 
(9,9) = 1.620072267626620e-16 
(8,10) = 1.356604585622850e-16 
(7,11) = 9.946336820516830e-17 
(6,12) = 6.566110281169800e-17 
(5,13) = 3.076861789293770e-17 
(4,14) = 1.208245502892210e-17 
(3,15) = 3.813087916713870e-18 
(2,16) = 5.026741366010620e-19 
(1,17) = 4.427814319462930e-20 
(0,18) = 1.954197139881150e-21 
(19,0) = 2.624315348642540e-21 
(18,1) = 5.936316586453530e-20 
(17,2) = 6.727950167541660e-19 
(16,3) = 5.094924957304950e-18 
(15,4) = 1.611624458915300e-17 
(14,5) = 4.095371939729130e-17 
(13,6) = 8.712286962466400e-17 
(12,7) = 1.438787385518720e-16 
(11,8) = 1.918006200904330e-16 
(10,9) = 2.336516004576810e-16 
(9,10) = 2.411049099736780e-16 
(8,11) = 1.942199577695130e-16 
(7,12) = 1.445632795168470e-16 
(6,13) = 8.725585194565979e-17 
(5,14) = 4.094031954516540e-17 
(4,15) = 1.609055316254060e-17 
(3,16) = 5.081927235441120e-18 
(2,17) = 6.705291177986570e-19 
(1,18) = 5.912030029809610e-20 
(0,19) = 2.611878912663380e-21 
(20,0) = 3.511043666377770e-21 
(19,1) = 7.933533840660160e-20 
(18,2) = 8.981617631474909e-19 
(17,3) = 6.794192124789520e-18 
(16,4) = 2.146903613690180e-17 
(15,5) = 5.449699012446220e-17 
(14,6) = 1.157945154983560e-16 
(13,7) = 1.908991203626960e-16 
(12,8) = 2.780580156794130e-16 
(11,9) = 3.341730301861990e-16 
(10,10) = 3.701699992664460e-16 
(9,11) = 3.422416219403760e-16 
(8,12) = 2.805485476972580e-16 
(7,13) = 1.916039389447110e-16 
(6,14) = 1.159144368331210e-16 
(5,15) = 5.446073294087040e-17 
(4,16) = 2.142806881901930e-17 
(3,17) = 6.774673924976830e-18 
(2,18) = 8.948361474493381e-19 
(1,19) = 7.898406032924380e-20 
(0,20) = 3.493248167222780e-21 
(21,0) = 4.700903165521820e-21 
(20,1) = 1.061042219228040e-19 
(19,2) = 1.199820732617110e-18 
(18,3) = 9.065250907711230e-18 
(17,4) = 2.861065877135050e-17 
(16,5) = 7.253161782179030e-17 
(15,6) = 1.538981570024130e-16 
(14,7) = 2.532752852098040e-16 
(13,8) = 3.678482594359260e-16 
(12,9) = 4.812594330803770e-16 
(11,10) = 5.305026671346390e-16 
(10,11) = 5.497452200404280e-16 
(9,12) = 4.883254983329760e-16 
(8,13) = 3.701753906487510e-16 
(7,14) = 2.539161943670040e-16 
(6,15) = 1.539472346566690e-16 
(5,16) = 7.244290609695790e-17 
(4,17) = 2.854184139703930e-17 
(3,18) = 9.034933600182140e-18 
(2,19) = 1.194846226242450e-18 
(1,20) = 1.055903568356220e-19 
(0,21) = 4.675261846943820e-21 
(22,0) = 6.298555853173380e-21 
(21,1) = 1.420093683193830e-19 
(20,2) = 1.603935080163790e-18 
(19,3) = 1.210323245868940e-17 
(18,4) = 3.814808623599340e-17 
(17,5) = 9.656925360421330e-17 
(16,6) = 2.045729923399130e-16 
(15,7) = 3.360385377586510e-16 
(14,8) = 4.867399526871510e-16 
(13,9) = 6.336502788678210e-16 
(12,10) = 7.569308496351340e-16 
(11,11) = 8.432479763936930e-16 
(10,12) = 7.766792446786140e-16 
(9,13) = 6.404312208758190e-16 
(8,14) = 4.891262715580140e-16 
(7,15) = 3.366364142485850e-16 
(6,16) = 2.045274425236470e-16 
(5,17) = 9.640571314512420e-17 
(4,18) = 3.803968255349550e-17 
(3,19) = 1.205780289081050e-17 
(2,20) = 1.596667662904170e-18 
(1,21) = 1.412708339645490e-19 
(0,22) = 6.262115689716060e-21 
(23,0) = 8.445645868726020e-21 
(22,1) = 1.902181811467380e-19 
(21,2) = 2.145946861752230e-18 
(20,3) = 1.617277210899470e-17 
