  1            2            1          5.5626900818e-01       3.6665674171e+01       1.2010602540e+02      
  1            3            2          5.0030577782e-01       4.0604217112e+01       1.1565008378e+02      
  2            3            3          5.0032239201e-01       4.0596408493e+01       1.1564476729e+02      
  1            4            2          4.5486491604e-01       4.4851525630e+01       1.1308126304e+02      
  2            4            4          4.5614813053e-01       4.4613490654e+01       1.1303571023e+02      
  3            4            5          4.5666170790e-01       4.4553179322e+01       1.1305243551e+02      
  1            5            3          4.1893931070e-01       5.0214503982e+01       1.1305540059e+02      
  2            5            5          4.2432879814e-01       4.9131501232e+01       1.1278082095e+02      
  3            5            6          4.2704763660e-01       4.8650629937e+01       1.1270777543e+02      
  4            5            8          4.3031806296e-01       4.8043406412e+01       1.1259111586e+02      
  1            6            3          3.8819329321e-01       5.0490953453e+01       1.0871994743e+02      
  2            6            4          3.9015304806e-01       5.0005403688e+01       1.0852836090e+02      
  3            6            4          3.8888451365e-01       5.0257500857e+01       1.0859017791e+02      
  4            6            4          3.8754125813e-01       5.0573363941e+01       1.0870455266e+02      
  5            6            1          3.8463389755e-01       5.1149235532e+01       1.0884432016e+02      
