  1            2            1          5.5626900818e-01       3.6665674171e+01       3.1480017826e+02      
  2            2            -          5.5626531732e-01       3.6666666667e+01       3.1479932533e+02      
  1            3            1          5.0019790762e-01       4.0621059724e+01       2.9072001354e+02      
  2            3            1          5.0018882653e-01       4.0623703619e+01       2.9071811688e+02      
  3            3            -          5.0018655630e-01       4.0625000000e+01       2.9071827815e+02      
  1            4            1          4.5462598408e-01       4.4897161302e+01       2.7221015334e+02      
  2            4            1          4.5460735608e-01       4.4902953140e+01       2.7220663118e+02      
  3            4            1          4.5460269932e-01       4.4905835113e+01       2.7220718477e+02      
  4            4            -          4.5459804266e-01       4.4909090909e+01       2.7220811224e+02      
  1            5            1          4.1674087670e-01       5.0594086327e+01       2.5896452468e+02      
  2            5            1          4.1670748483e-01       5.0604955923e+01       2.5895869834e+02      
  3            5            1          4.1669913769e-01       5.0610477412e+01       2.5896004626e+02      
  4            5            1          4.1669079090e-01       5.0616729802e+01       2.5896212525e+02      
  5            5            -          4.1668244443e-01       5.0625000000e+01       2.5896622222e+02      
  1            6            1          3.8472843296e-01       5.1095183003e+01       2.4345939948e+02      
  2            6            1          3.8467440703e-01       5.1114162270e+01       2.4345136579e+02      
  3            6            1          3.8466090292e-01       5.1123820996e+01       2.4345427246e+02      
  4            6            1          3.8464739976e-01       5.1134760343e+01       2.4345846022e+02      
  5            6            1          3.8463389755e-01       5.1149235532e+01       2.4346618430e+02      
  6            6            -          3.8462039628e-01       5.1153846154e+01       2.4346404429e+02   
