
  1            2           26          1.0417633158e+00       3.2350719558e+01       3.3392482874e+01      
  1            3           32          1.1865905210e+00       3.2466476303e+01       3.3653066824e+01      
  2            3           86          5.5626531732e-01       3.6666666667e+01       3.7222931984e+01      
  1            4           35          1.2576675572e+00       3.2572455084e+01       3.3830122642e+01      
  2            4           86          5.5626531732e-01       3.6666666667e+01       3.7222931984e+01      
  3            4          100          5.0018655630e-01       4.0625000000e+01       4.1125186556e+01      
  1            5           39          1.3552692247e+00       3.2670126820e+01       3.4025396045e+01      
  2            5          100          5.5626531732e-01       3.6666666667e+01       3.7222931984e+01      
  3            5          100          5.0018655630e-01       4.0625000000e+01       4.1125186556e+01      
  4            5          100          4.5459804266e-01       4.4909090909e+01       4.5363688952e+01      
  1            6           38          1.3275981114e+00       3.2617009363e+01       3.3944607474e+01      
  2            6          100          5.5626531732e-01       3.6666666667e+01       3.7222931984e+01      
  3            6          100          5.0018655630e-01       4.0625000000e+01       4.1125186556e+01      
  4            6          100          4.5459804266e-01       4.4909090909e+01       4.5363688952e+01      
  5            6           12          4.1260910787e-01       5.0620843295e+01       5.1033452403e+01      
